Date_Time,Minute,Status,Min_Class
49202,2020-07-01-12:37:05,37,0,f4
49203,2020-07-01-12:37:06,37,0,f4
49204,2020-07-01-12:37:06,37,0,f4
49205,2020-07-01-12:37:07,37,0,f4
49206,2020-07-01-12:37:07,37,1,f4
49207,2020-07-01-12:37:07,37,1,f4
49208,2020-07-01-12:37:08,37,1,f4
49209,2020-07-01-12:37:08,37,1,f4
49210,2020-07-01-12:37:09,37,0,f4
49211,2020-07-01-12:37:09,37,1,f4
49212,2020-07-01-12:37:09,37,0,f4
49213,2020-07-01-12:37:10,37,1,f4
49214,2020-07-01-12:37:13,37,0,f4
49215,2020-07-01-12:37:14,37,1,f4
49216,2020-07-01-12:37:14,37,0,f4
49217,2020-07-01-12:37:14,37,1,f4
49218,2020-07-01-12:37:15,37,1,f4
49219,2020-07-01-12:37:15,37,0,f4
49220,2020-07-01-12:37:16,37,0,f4
49221,2020-07-01-12:37:16,37,0,f4
49222,2020-07-01-12:37:17,37,1,f4
49223,2020-07-01-12:37:17,37,0,f4
49224,2020-07-01-12:37:18,37,0,f4
49225,2020-07-01-12:37:18,37,0,f4
49226,2020-07-01-12:37:19,37,0,f4
49227,2020-07-01-12:37:19,37,1,f4
49228,2020-07-01-12:37:20,37,0,f4
49229,2020-07-01-12:37:20,37,0,f4
49230,2020-07-01-12:37:21,37,1,f4
49231,2020-07-01-12:37:23,37,1,f4
49232,2020-07-01-12:37:26,37,1,f4
49233,2020-07-01-12:37:26,37,0,f4
49234,2020-07-01-12:37:27,37,1,f4
49235,2020-07-01-12:37:27,37,0,f4
49236,2020-07-01-12:37:28,37,1,f4
49237,2020-07-01-12:37:28,37,0,f4
49238,2020-07-01-12:37:29,37,1,f4
49239,2020-07-01-12:37:29,37,1,f4
49240,2020-07-01-12:37:30,37,1,f4
49241,2020-07-01-12:37:30,37,0,f4
49242,2020-07-01-12:37:34,37,0,f4
49243,2020-07-01-12:37:34,37,0,f4
49244,2020-07-01-12:37:35,37,1,f4
49245,2020-07-01-12:37:36,37,0,f4
49246,2020-07-01-12:37:36,37,1,f4
49247,2020-07-01-12:37:37,37,1,f4
49248,2020-07-01-12:37:38,37,1,f4
49249,2020-07-01-12:37:38,37,1,f4
49250,2020-07-01-12:37:39,37,1,f4
49251,2020-07-01-12:37:39,37,0,f4
49252,2020-07-01-12:37:40,37,1,f4
49253,2020-07-01-12:37:40,37,0,f4
49254,2020-07-01-12:37:41,37,1,f4
49255,2020-07-01-12:37:42,37,1,f4
49256,2020-07-01-12:37:42,37,1,f4
49257,2020-07-01-12:37:43,37,0,f4
49258,2020-07-01-12:37:43,37,0,f4
49259,2020-07-01-12:37:44,37,1,f4
49260,2020-07-01-12:37:48,37,1,f4
