index,Date_Time,Status_change
0,2020-07-01-12:37:05,1
1,2020-07-01-12:37:06,2
2,2020-07-01-12:37:06,3
3,2020-07-01-12:37:07,4
4,2020-07-01-12:37:09,5
5,2020-07-01-12:37:09,6
6,2020-07-01-12:37:13,7
7,2020-07-01-12:37:14,8
8,2020-07-01-12:37:15,9
9,2020-07-01-12:37:16,10
10,2020-07-01-12:37:16,11
11,2020-07-01-12:37:17,12
12,2020-07-01-12:37:18,13
13,2020-07-01-12:37:18,14
14,2020-07-01-12:37:19,15
15,2020-07-01-12:37:20,16
16,2020-07-01-12:37:20,17
17,2020-07-01-12:37:26,18
18,2020-07-01-12:37:27,19
19,2020-07-01-12:37:28,20
20,2020-07-01-12:37:30,21
21,2020-07-01-12:37:34,22
22,2020-07-01-12:37:34,23
23,2020-07-01-12:37:36,24
24,2020-07-01-12:37:39,25
25,2020-07-01-12:37:40,26
26,2020-07-01-12:37:43,27
27,2020-07-01-12:37:43,28
28,2020-07-01-12:37:49,29
29,2020-07-01-12:37:51,30
30,2020-07-01-12:37:54,31
31,2020-07-01-12:37:55,32
32,2020-07-01-12:37:55,33
33,2020-07-01-12:37:56,34
34,2020-07-01-12:38:01,35
35,2020-07-01-12:38:02,36
36,2020-07-01-12:38:04,37
37,2020-07-01-12:38:06,38
38,2020-07-01-12:38:07,39
39,2020-07-01-12:38:10,40
40,2020-07-01-12:38:11,41
41,2020-07-01-12:38:18,42
42,2020-07-01-12:38:20,43
43,2020-07-01-12:38:21,44
44,2020-07-01-12:38:29,45
45,2020-07-01-12:38:33,46
46,2020-07-01-12:38:34,47
47,2020-07-01-12:38:37,48
48,2020-07-01-12:38:38,49
49,2020-07-01-12:38:39,50
50,2020-07-01-12:38:40,51
51,2020-07-01-12:38:41,52
52,2020-07-01-12:38:42,53
53,2020-07-01-12:38:46,54
54,2020-07-01-12:38:49,55
55,2020-07-01-12:38:50,56
56,2020-07-01-12:38:50,57
57,2020-07-01-12:38:52,58
58,2020-07-01-12:38:56,59
59,2020-07-01-12:38:56,60
60,2020-07-01-12:38:57,61
61,2020-07-01-12:38:59,62
62,2020-07-01-12:39:00,63
63,2020-07-01-12:39:00,64
64,2020-07-01-12:39:02,65
65,2020-07-01-12:39:05,66
66,2020-07-01-12:39:08,67
67,2020-07-01-12:39:15,68
68,2020-07-01-12:39:16,69
69,2020-07-01-12:39:17,70
70,2020-07-01-12:39:18,71
71,2020-07-01-12:39:19,72
72,2020-07-01-12:39:21,73
73,2020-07-01-12:39:21,74
74,2020-07-01-12:39:23,75
75,2020-07-01-12:39:24,76
76,2020-07-01-12:39:29,77
77,2020-07-01-12:39:30,78
78,2020-07-01-12:39:36,79
79,2020-07-01-12:39:39,80
80,2020-07-01-12:39:42,81
81,2020-07-01-12:39:42,82
82,2020-07-01-12:39:45,83
83,2020-07-01-12:39:47,84
84,2020-07-01-12:39:48,85
85,2020-07-01-12:39:49,86
86,2020-07-01-12:39:49,87
87,2020-07-01-12:39:51,88
88,2020-07-01-12:39:51,89
89,2020-07-01-12:39:56,90
90,2020-07-01-12:39:56,91
91,2020-07-01-12:39:57,92
92,2020-07-01-12:39:58,93
93,2020-07-01-12:39:59,94
94,2020-07-01-12:40:00,95
95,2020-07-01-12:40:01,96
96,2020-07-01-12:40:02,97
97,2020-07-01-12:40:08,98
98,2020-07-01-12:40:09,99
99,2020-07-01-12:40:14,100
100,2020-07-01-12:40:15,101
101,2020-07-01-12:40:17,102
102,2020-07-01-12:40:17,103
103,2020-07-01-12:40:18,104
104,2020-07-01-12:40:18,105
105,2020-07-01-12:40:19,106
106,2020-07-01-12:40:19,107
107,2020-07-01-12:40:21,108
108,2020-07-01-12:40:22,109
109,2020-07-01-12:40:22,110
110,2020-07-01-12:40:23,111
111,2020-07-01-12:40:24,112
112,2020-07-01-12:40:25,113
113,2020-07-01-12:40:25,114
114,2020-07-01-12:40:27,115
115,2020-07-01-12:40:28,116
116,2020-07-01-12:40:28,117
117,2020-07-01-12:40:32,118
118,2020-07-01-12:40:35,119
119,2020-07-01-12:40:36,120
120,2020-07-01-12:40:37,121
121,2020-07-01-12:40:43,122
122,2020-07-01-12:40:45,123
123,2020-07-01-12:40:48,124
124,2020-07-01-12:40:48,125
125,2020-07-01-12:40:56,126
126,2020-07-01-12:41:02,127
127,2020-07-01-12:41:04,128
128,2020-07-01-12:41:04,129
129,2020-07-01-12:41:05,130
130,2020-07-01-12:41:08,131
131,2020-07-01-12:41:09,132
132,2020-07-01-12:41:10,133
133,2020-07-01-12:41:11,134
134,2020-07-01-12:41:14,135
135,2020-07-01-12:41:17,136
136,2020-07-01-12:41:18,137
137,2020-07-01-12:41:20,138
138,2020-07-01-12:41:21,139
139,2020-07-01-12:41:25,140
140,2020-07-01-12:41:31,141
141,2020-07-01-12:41:32,142
142,2020-07-01-12:41:33,143
143,2020-07-01-12:41:34,144
144,2020-07-01-12:41:35,145
145,2020-07-01-12:41:37,146
146,2020-07-01-12:41:38,147
147,2020-07-01-12:41:38,148
148,2020-07-01-12:41:39,149
149,2020-07-01-12:41:40,150
150,2020-07-01-12:41:44,151
151,2020-07-01-12:41:45,152
152,2020-07-01-12:41:46,153
153,2020-07-01-12:41:47,154
154,2020-07-01-12:41:50,155
155,2020-07-01-12:41:51,156
156,2020-07-01-12:41:56,157
157,2020-07-01-12:41:57,158
158,2020-07-01-12:41:58,159
159,2020-07-01-12:41:59,160
160,2020-07-01-12:42:04,161
161,2020-07-01-12:42:05,162
162,2020-07-01-12:42:06,163
163,2020-07-01-12:42:10,164
164,2020-07-01-12:42:11,165
165,2020-07-01-12:42:13,166
166,2020-07-01-12:42:13,167
167,2020-07-01-12:42:15,168
168,2020-07-01-12:42:20,169
169,2020-07-01-12:42:21,170
170,2020-07-01-12:42:24,171
171,2020-07-01-12:42:26,172
172,2020-07-01-12:42:28,173
173,2020-07-01-12:42:29,174
174,2020-07-01-12:42:31,175
175,2020-07-01-12:42:31,176
176,2020-07-01-12:42:32,177
177,2020-07-01-12:42:32,178
178,2020-07-01-12:42:33,179
179,2020-07-01-12:42:35,180
180,2020-07-01-12:42:35,181
181,2020-07-01-12:42:36,182
182,2020-07-01-12:42:37,183
183,2020-07-01-12:42:38,184
184,2020-07-01-12:42:42,185
185,2020-07-01-12:42:43,186
186,2020-07-01-12:42:44,187
187,2020-07-01-12:42:47,188
188,2020-07-01-12:42:51,189
189,2020-07-01-12:42:53,190
190,2020-07-01-12:42:53,191
191,2020-07-01-12:42:54,192
192,2020-07-01-12:42:54,193
193,2020-07-01-12:42:54,194
194,2020-07-01-12:42:55,195
195,2020-07-01-12:42:56,196
196,2020-07-01-12:42:57,197
197,2020-07-01-12:42:57,198
198,2020-07-01-12:42:58,199
199,2020-07-01-12:42:58,200
200,2020-07-01-12:42:59,201
201,2020-07-01-12:43:02,202
202,2020-07-01-12:43:04,203
203,2020-07-01-12:43:04,204
204,2020-07-01-12:43:07,205
205,2020-07-01-12:43:07,206
206,2020-07-01-12:43:08,207
207,2020-07-01-12:43:10,208
208,2020-07-01-12:43:11,209
209,2020-07-01-12:43:12,210
210,2020-07-01-12:43:12,211
211,2020-07-01-12:43:15,212
212,2020-07-01-12:43:18,213
213,2020-07-01-12:43:20,214
214,2020-07-01-12:43:24,215
215,2020-07-01-12:43:25,216
216,2020-07-01-12:43:34,217
217,2020-07-01-12:43:34,218
218,2020-07-01-12:43:35,219
219,2020-07-01-12:43:36,220
220,2020-07-01-12:43:37,221
221,2020-07-01-12:43:38,222
222,2020-07-01-12:43:40,223
223,2020-07-01-12:43:46,224
224,2020-07-01-12:43:49,225
225,2020-07-01-12:43:50,226
226,2020-07-01-12:43:51,227
227,2020-07-01-12:43:51,228
228,2020-07-01-12:43:53,229
229,2020-07-01-12:43:55,230
230,2020-07-01-12:43:56,231
231,2020-07-01-12:43:56,232
232,2020-07-01-12:43:58,233
233,2020-07-01-12:44:00,234
234,2020-07-01-12:44:02,235
235,2020-07-01-12:44:02,236
236,2020-07-01-12:44:03,237
237,2020-07-01-12:44:04,238
238,2020-07-01-12:44:05,239
239,2020-07-01-12:44:19,240
240,2020-07-01-12:44:20,241
241,2020-07-01-12:44:21,242
242,2020-07-01-12:44:21,243
243,2020-07-01-12:44:22,244
244,2020-07-01-12:44:25,245
245,2020-07-01-12:44:27,246
246,2020-07-01-12:44:28,247
247,2020-07-01-12:44:29,248
248,2020-07-01-12:44:30,249
249,2020-07-01-12:44:31,250
250,2020-07-01-12:44:36,251
251,2020-07-01-12:44:37,252
252,2020-07-01-12:44:39,253
253,2020-07-01-12:44:39,254
254,2020-07-01-12:44:41,255
255,2020-07-01-12:44:42,256
256,2020-07-01-12:44:42,257
257,2020-07-01-12:44:43,258
258,2020-07-01-12:44:44,259
259,2020-07-01-12:44:44,260
260,2020-07-01-12:44:52,261
261,2020-07-01-12:44:54,262
262,2020-07-01-12:44:57,263
263,2020-07-01-12:44:58,264
264,2020-07-01-12:45:00,265
265,2020-07-01-12:45:02,266
266,2020-07-01-12:45:03,267
267,2020-07-01-12:45:04,268
268,2020-07-01-12:45:05,269
269,2020-07-01-12:45:05,270
270,2020-07-01-12:45:07,271
271,2020-07-01-12:45:07,272
272,2020-07-01-12:45:09,273
273,2020-07-01-12:45:10,274
274,2020-07-01-12:45:10,275
275,2020-07-01-12:45:14,276
276,2020-07-01-12:45:15,277
277,2020-07-01-12:45:16,278
278,2020-07-01-12:45:19,279
279,2020-07-01-12:45:20,280
280,2020-07-01-12:45:21,281
281,2020-07-01-12:45:28,282
282,2020-07-01-12:45:33,283
283,2020-07-01-12:45:35,284
284,2020-07-01-12:45:35,285
285,2020-07-01-12:45:36,286
286,2020-07-01-12:45:38,287
287,2020-07-01-12:45:38,288
288,2020-07-01-12:45:39,289
289,2020-07-01-12:45:40,290
290,2020-07-01-12:45:40,291
291,2020-07-01-12:45:41,292
292,2020-07-01-12:45:41,293
293,2020-07-01-12:45:42,294
294,2020-07-01-12:45:48,295
295,2020-07-01-12:45:50,296
296,2020-07-01-12:45:50,297
297,2020-07-01-12:45:51,298
298,2020-07-01-12:45:51,299
299,2020-07-01-12:45:53,300
300,2020-07-01-12:45:54,301
301,2020-07-01-12:45:56,302
302,2020-07-01-12:45:58,303
303,2020-07-01-12:45:59,304
304,2020-07-01-12:46:00,305
305,2020-07-01-12:46:01,306
306,2020-07-01-12:46:04,307
307,2020-07-01-12:46:07,308
308,2020-07-01-12:46:08,309
309,2020-07-01-12:46:09,310
310,2020-07-01-12:46:11,311
311,2020-07-01-12:46:13,312
312,2020-07-01-12:46:15,313
313,2020-07-01-12:46:17,314
314,2020-07-01-12:46:19,315
315,2020-07-01-12:46:21,316
316,2020-07-01-12:46:21,317
317,2020-07-01-12:46:28,318
318,2020-07-01-12:46:29,319
319,2020-07-01-12:46:30,320
320,2020-07-01-12:46:30,321
321,2020-07-01-12:46:32,322
322,2020-07-01-12:46:33,323
323,2020-07-01-12:46:34,324
324,2020-07-01-12:46:39,325
325,2020-07-01-12:46:40,326
326,2020-07-01-12:46:40,327
327,2020-07-01-12:46:48,328
328,2020-07-01-12:46:48,329
329,2020-07-01-12:46:50,330
330,2020-07-01-12:46:50,331
331,2020-07-01-12:46:54,332
332,2020-07-01-12:46:55,333
333,2020-07-01-12:46:58,334
334,2020-07-01-12:46:59,335
335,2020-07-01-12:46:59,336
336,2020-07-01-12:47:00,337
337,2020-07-01-12:47:03,338
338,2020-07-01-12:47:04,339
339,2020-07-01-12:47:05,340
340,2020-07-01-12:47:07,341
341,2020-07-01-12:47:09,342
342,2020-07-01-12:47:15,343
343,2020-07-01-12:47:17,344
344,2020-07-01-12:47:24,345
345,2020-07-01-12:47:24,346
346,2020-07-01-12:47:26,347
347,2020-07-01-12:47:32,348
348,2020-07-01-12:47:33,349
349,2020-07-01-12:47:35,350
350,2020-07-01-12:47:37,351
351,2020-07-01-12:47:38,352
352,2020-07-01-12:47:38,353
353,2020-07-01-12:47:39,354
354,2020-07-01-12:47:40,355
355,2020-07-01-12:47:41,356
356,2020-07-01-12:47:42,357
357,2020-07-01-12:47:45,358
358,2020-07-01-12:47:48,359
359,2020-07-01-12:47:50,360
360,2020-07-01-12:47:52,361
361,2020-07-01-12:47:54,362
362,2020-07-01-12:47:55,363
363,2020-07-01-12:47:56,364
364,2020-07-01-12:48:00,365
365,2020-07-01-12:48:00,366
366,2020-07-01-12:48:01,367
367,2020-07-01-12:48:01,368
368,2020-07-01-12:48:03,369
369,2020-07-01-12:48:04,370
370,2020-07-01-12:48:05,371
371,2020-07-01-12:48:06,372
372,2020-07-01-12:48:07,373
373,2020-07-01-12:48:09,374
374,2020-07-01-12:48:10,375
375,2020-07-01-12:48:12,376
376,2020-07-01-12:48:13,377
377,2020-07-01-12:48:14,378
378,2020-07-01-12:48:15,379
379,2020-07-01-12:48:15,380
380,2020-07-01-12:48:17,381
381,2020-07-01-12:48:18,382
382,2020-07-01-12:48:18,383
383,2020-07-01-12:48:20,384
384,2020-07-01-12:48:21,385
385,2020-07-01-12:48:27,386
386,2020-07-01-12:48:33,387
387,2020-07-01-12:48:34,388
388,2020-07-01-12:48:34,389
389,2020-07-01-12:48:35,390
390,2020-07-01-12:48:38,391
391,2020-07-01-12:48:39,392
392,2020-07-01-12:48:40,393
393,2020-07-01-12:48:43,394
394,2020-07-01-12:48:43,395
395,2020-07-01-12:48:45,396
396,2020-07-01-12:48:50,397
397,2020-07-01-12:48:52,398
