index,Date_Time,Status_change
0,2020-07-01-12:37:07,1
1,2020-07-01-12:37:07,2
2,2020-07-01-12:37:08,3
3,2020-07-01-12:37:08,4
4,2020-07-01-12:37:09,5
5,2020-07-01-12:37:10,6
6,2020-07-01-12:37:14,7
7,2020-07-01-12:37:14,8
8,2020-07-01-12:37:15,9
9,2020-07-01-12:37:17,10
10,2020-07-01-12:37:19,11
11,2020-07-01-12:37:21,12
12,2020-07-01-12:37:23,13
13,2020-07-01-12:37:26,14
14,2020-07-01-12:37:27,15
15,2020-07-01-12:37:28,16
16,2020-07-01-12:37:29,17
17,2020-07-01-12:37:29,18
18,2020-07-01-12:37:30,19
19,2020-07-01-12:37:35,20
20,2020-07-01-12:37:36,21
21,2020-07-01-12:37:37,22
22,2020-07-01-12:37:38,23
23,2020-07-01-12:37:38,24
24,2020-07-01-12:37:39,25
25,2020-07-01-12:37:40,26
26,2020-07-01-12:37:41,27
27,2020-07-01-12:37:42,28
28,2020-07-01-12:37:42,29
29,2020-07-01-12:37:44,30
30,2020-07-01-12:37:48,31
31,2020-07-01-12:37:49,32
32,2020-07-01-12:37:50,33
33,2020-07-01-12:37:50,34
34,2020-07-01-12:37:51,35
35,2020-07-01-12:37:52,36
36,2020-07-01-12:38:00,37
37,2020-07-01-12:38:01,38
38,2020-07-01-12:38:02,39
39,2020-07-01-12:38:03,40
40,2020-07-01-12:38:06,41
41,2020-07-01-12:38:07,42
42,2020-07-01-12:38:12,43
43,2020-07-01-12:38:15,44
44,2020-07-01-12:38:16,45
45,2020-07-01-12:38:18,46
46,2020-07-01-12:38:19,47
47,2020-07-01-12:38:22,48
48,2020-07-01-12:38:25,49
49,2020-07-01-12:38:25,50
50,2020-07-01-12:38:26,51
51,2020-07-01-12:38:27,52
52,2020-07-01-12:38:29,53
53,2020-07-01-12:38:30,54
54,2020-07-01-12:38:35,55
55,2020-07-01-12:38:37,56
56,2020-07-01-12:38:38,57
57,2020-07-01-12:38:39,58
58,2020-07-01-12:38:42,59
59,2020-07-01-12:38:49,60
60,2020-07-01-12:38:57,61
61,2020-07-01-12:38:58,62
62,2020-07-01-12:38:58,63
63,2020-07-01-12:39:01,64
64,2020-07-01-12:39:01,65
65,2020-07-01-12:39:02,66
66,2020-07-01-12:39:03,67
67,2020-07-01-12:39:05,68
68,2020-07-01-12:39:06,69
69,2020-07-01-12:39:06,70
70,2020-07-01-12:39:07,71
71,2020-07-01-12:39:13,72
72,2020-07-01-12:39:16,73
73,2020-07-01-12:39:18,74
74,2020-07-01-12:39:19,75
75,2020-07-01-12:39:20,76
76,2020-07-01-12:39:22,77
77,2020-07-01-12:39:25,78
78,2020-07-01-12:39:25,79
79,2020-07-01-12:39:26,80
80,2020-07-01-12:39:28,81
81,2020-07-01-12:39:29,82
82,2020-07-01-12:39:33,83
83,2020-07-01-12:39:40,84
84,2020-07-01-12:39:40,85
85,2020-07-01-12:39:45,86
86,2020-07-01-12:39:46,87
87,2020-07-01-12:39:46,88
88,2020-07-01-12:39:47,89
89,2020-07-01-12:39:48,90
90,2020-07-01-12:39:50,91
91,2020-07-01-12:39:50,92
92,2020-07-01-12:39:52,93
93,2020-07-01-12:39:52,94
94,2020-07-01-12:39:53,95
95,2020-07-01-12:39:57,96
96,2020-07-01-12:39:58,97
97,2020-07-01-12:39:59,98
98,2020-07-01-12:40:00,99
99,2020-07-01-12:40:03,100
100,2020-07-01-12:40:03,101
101,2020-07-01-12:40:04,102
102,2020-07-01-12:40:04,103
103,2020-07-01-12:40:05,104
104,2020-07-01-12:40:09,105
105,2020-07-01-12:40:10,106
106,2020-07-01-12:40:10,107
107,2020-07-01-12:40:12,108
108,2020-07-01-12:40:13,109
109,2020-07-01-12:40:14,110
110,2020-07-01-12:40:20,111
111,2020-07-01-12:40:20,112
112,2020-07-01-12:40:21,113
113,2020-07-01-12:40:23,114
114,2020-07-01-12:40:24,115
115,2020-07-01-12:40:26,116
116,2020-07-01-12:40:26,117
117,2020-07-01-12:40:27,118
118,2020-07-01-12:40:29,119
119,2020-07-01-12:40:29,120
120,2020-07-01-12:40:30,121
121,2020-07-01-12:40:30,122
122,2020-07-01-12:40:31,123
123,2020-07-01-12:40:31,124
124,2020-07-01-12:40:32,125
125,2020-07-01-12:40:33,126
126,2020-07-01-12:40:33,127
127,2020-07-01-12:40:34,128
128,2020-07-01-12:40:34,129
129,2020-07-01-12:40:35,130
130,2020-07-01-12:40:36,131
131,2020-07-01-12:40:40,132
132,2020-07-01-12:40:41,133
133,2020-07-01-12:40:42,134
134,2020-07-01-12:40:44,135
135,2020-07-01-12:40:50,136
136,2020-07-01-12:40:50,137
137,2020-07-01-12:40:53,138
138,2020-07-01-12:40:54,139
139,2020-07-01-12:40:57,140
140,2020-07-01-12:40:58,141
141,2020-07-01-12:40:59,142
142,2020-07-01-12:40:59,143
143,2020-07-01-12:41:01,144
144,2020-07-01-12:41:03,145
145,2020-07-01-12:41:05,146
146,2020-07-01-12:41:06,147
147,2020-07-01-12:41:07,148
148,2020-07-01-12:41:07,149
149,2020-07-01-12:41:08,150
150,2020-07-01-12:41:09,151
151,2020-07-01-12:41:10,152
152,2020-07-01-12:41:11,153
153,2020-07-01-12:41:12,154
154,2020-07-01-12:41:13,155
155,2020-07-01-12:41:15,156
156,2020-07-01-12:41:19,157
157,2020-07-01-12:41:19,158
158,2020-07-01-12:41:21,159
159,2020-07-01-12:41:23,160
160,2020-07-01-12:41:24,161
161,2020-07-01-12:41:24,162
162,2020-07-01-12:41:28,163
163,2020-07-01-12:41:28,164
164,2020-07-01-12:41:29,165
165,2020-07-01-12:41:29,166
166,2020-07-01-12:41:31,167
167,2020-07-01-12:41:32,168
168,2020-07-01-12:41:33,169
169,2020-07-01-12:41:34,170
170,2020-07-01-12:41:35,171
171,2020-07-01-12:41:36,172
172,2020-07-01-12:41:47,173
173,2020-07-01-12:41:48,174
174,2020-07-01-12:41:48,175
175,2020-07-01-12:41:49,176
176,2020-07-01-12:41:49,177
177,2020-07-01-12:41:50,178
178,2020-07-01-12:41:55,179
179,2020-07-01-12:41:55,180
180,2020-07-01-12:41:59,181
181,2020-07-01-12:42:00,182
182,2020-07-01-12:42:00,183
183,2020-07-01-12:42:04,184
184,2020-07-01-12:42:05,185
185,2020-07-01-12:42:16,186
186,2020-07-01-12:42:16,187
187,2020-07-01-12:42:17,188
188,2020-07-01-12:42:17,189
189,2020-07-01-12:42:18,190
190,2020-07-01-12:42:19,191
191,2020-07-01-12:42:20,192
192,2020-07-01-12:42:25,193
193,2020-07-01-12:42:25,194
194,2020-07-01-12:42:27,195
195,2020-07-01-12:42:28,196
196,2020-07-01-12:42:29,197
197,2020-07-01-12:42:30,198
198,2020-07-01-12:42:30,199
199,2020-07-01-12:42:33,200
200,2020-07-01-12:42:34,201
201,2020-07-01-12:42:34,202
202,2020-07-01-12:42:36,203
203,2020-07-01-12:42:37,204
204,2020-07-01-12:42:38,205
205,2020-07-01-12:42:39,206
206,2020-07-01-12:42:39,207
207,2020-07-01-12:42:40,208
