Date_Time,Minute,Status,Min_Class
2020-06-11-13:16:57,16,1,f2
2020-06-11-13:16:57,16,1,f2
2020-06-11-13:17:32,17,0,f2
2020-06-11-13:17:32,17,0,f2
2020-06-11-13:19:03,19,1,2020-06-11 13:19:03
2020-06-11-13:19:03,19,1,2020-06-11 13:19:03
2020-06-11-13:21:26,21,0,f3
2020-06-11-13:21:27,21,0,f3
2020-06-11-13:22:05,22,1,f3
2020-06-11-13:22:05,22,1,f3
2020-06-11-13:22:16,22,0,f3
2020-06-11-13:22:16,22,0,f3
2020-06-11-14:11:26,11,1,f2
2020-06-11-14:11:26,11,1,f2
2020-06-11-15:03:43,3,1,f1
2020-06-11-15:31:08,31,0,f4
2020-06-11-15:31:09,31,0,f4
2020-06-11-16:03:05,3,1,f1
2020-06-11-16:17:47,17,1,f2
2020-06-11-16:18:26,18,0,f2
2020-06-11-17:04:02,4,1,f1
2020-06-11-17:27:26,27,0,f3
2020-06-11-17:44:12,44,0,f5
2020-06-11-19:00:14,0,1,f1
2020-06-11-19:01:45,1,0,f1
2020-06-11-19:01:48,1,1,f1
2020-06-11-19:18:18,18,1,f2
2020-06-11-19:20:18,20,0,f3
2020-06-11-19:21:15,21,1,f3
2020-06-11-19:22:18,22,0,f3
2020-06-11-19:22:27,22,1,f3
2020-06-11-19:23:15,23,0,f3
2020-06-11-19:24:50,24,1,f3
2020-06-11-19:27:31,27,0,f3
2020-06-11-19:32:30,32,1,f4
2020-06-11-19:32:37,32,1,f4
2020-06-11-19:36:17,36,0,f4
2020-06-11-19:37:15,37,1,f4
2020-06-11-19:40:04,40,0,f5
2020-06-11-19:42:14,42,1,f5
2020-06-11-19:46:55,46,0,f5
2020-06-11-19:48:15,48,1,f5
2020-06-11-19:50:15,50,0,f6
2020-06-11-20:28:34,28,0,f3
2020-06-11-20:28:55,28,1,f3
2020-06-11-20:51:54,51,1,f6
2020-06-11-20:53:54,53,0,f6
2020-06-11-21:52:23,52,1,f6
2020-06-11-21:52:23,52,1,f6
2020-06-11-22:54:20,54,1,f6
2020-06-11-22:56:20,56,0,f6
2020-06-11-22:59:04,59,1,2020-06-11 22:59:04
2020-06-11-23:03:07,3,0,f1
2020-06-11-23:04:09,4,1,f1
2020-06-11-23:05:09,5,1,f1
2020-06-11-23:06:09,6,0,f1
2020-06-11-23:07:45,7,0,f1
2020-06-11-23:19:04,19,0,2020-06-11 23:19:04
2020-06-11-23:19:07,19,1,2020-06-11 23:19:07
2020-06-11-23:25:18,25,0,f3
2020-06-11-23:25:47,25,1,f3
