index,Date_Time,Status_change
0,2020-06-11-13:17:32,1
1,2020-06-11-13:17:32,2
2,2020-06-11-13:21:26,3
3,2020-06-11-13:21:27,4
4,2020-06-11-13:22:16,5
5,2020-06-11-13:22:16,6
6,2020-06-11-15:31:08,7
7,2020-06-11-15:31:09,8
8,2020-06-11-16:18:26,9
9,2020-06-11-17:27:26,10
10,2020-06-11-17:44:12,11
11,2020-06-11-19:01:45,12
12,2020-06-11-19:20:18,13
13,2020-06-11-19:22:18,14
14,2020-06-11-19:23:15,15
15,2020-06-11-19:27:31,16
16,2020-06-11-19:36:17,17
17,2020-06-11-19:40:04,18
18,2020-06-11-19:46:55,19
19,2020-06-11-19:50:15,20
20,2020-06-11-20:28:34,21
21,2020-06-11-20:53:54,22
22,2020-06-11-22:56:20,23
23,2020-06-11-23:03:07,24
24,2020-06-11-23:06:09,25
25,2020-06-11-23:07:45,26
26,2020-06-11-23:19:04,27
27,2020-06-11-23:25:18,28
28,2020-06-11-23:30:57,29
29,2020-06-11-23:47:12,30
30,2020-06-11-23:49:09,31
31,2020-06-11-23:50:06,32
32,2020-06-11-23:58:01,33
33,2020-06-12-01:20:59,34
34,2020-06-12-02:06:28,35
35,2020-06-12-02:38:08,36
36,2020-06-12-02:42:16,37
37,2020-06-12-02:51:29,38
38,2020-06-12-04:23:31,39
39,2020-06-12-04:50:16,40
40,2020-06-12-05:01:17,41
41,2020-06-12-05:05:55,42
42,2020-06-12-05:17:15,43
43,2020-06-12-05:17:15,44
44,2020-06-12-05:45:14,45
45,2020-06-12-05:45:14,46
46,2020-06-12-05:46:42,47
47,2020-06-12-05:46:54,48
48,2020-06-12-05:46:54,49
49,2020-06-12-06:08:56,50
50,2020-06-12-06:08:56,51
51,2020-06-12-06:13:28,52
52,2020-06-12-06:13:28,53
53,2020-06-12-08:01:14,54
54,2020-06-12-09:12:02,55
55,2020-06-12-09:28:07,56
56,2020-06-12-09:56:23,57
57,2020-06-12-10:37:43,58
58,2020-06-12-08:57:36,59
59,2020-06-12-17:10:24,60
60,2020-06-12-17:29:59,61
61,2020-06-12-18:10:59,62
62,2020-06-12-18:11:49,63
63,2020-06-12-18:22:46,64
64,2020-06-12-18:25:00,65
65,2020-06-12-18:26:17,66
66,2020-06-12-18:31:50,67
67,2020-06-12-18:32:21,68
68,2020-06-12-18:35:53,69
69,2020-06-12-18:37:46,70
70,2020-06-12-18:43:05,71
71,2020-06-12-19:08:50,72
72,2020-06-12-19:14:33,73
73,2020-06-12-19:16:03,74
74,2020-06-12-19:40:50,75
75,2020-06-12-19:45:47,76
76,2020-06-12-20:00:51,77
77,2020-06-12-20:18:00,78
78,2020-06-12-20:21:49,79
79,2020-06-12-20:22:35,80
80,2020-06-12-20:31:06,81
81,2020-06-12-20:35:32,82
82,2020-06-12-20:42:47,83
83,2020-06-12-20:47:44,84
84,2020-06-12-20:54:55,85
85,2020-06-12-21:02:07,86
86,2020-06-12-21:34:21,87
87,2020-06-12-21:47:01,88
88,2020-06-12-21:57:07,89
89,2020-06-12-22:02:32,90
90,2020-06-12-22:02:32,91
91,2020-06-12-22:06:02,92
92,2020-06-12-22:06:02,93
93,2020-06-12-22:09:51,94
94,2020-06-12-22:09:51,95
95,2020-06-12-22:16:02,96
96,2020-06-12-22:16:02,97
97,2020-06-12-22:22:16,98
98,2020-06-12-22:22:16,99
99,2020-06-12-22:29:21,100
100,2020-06-12-22:32:11,101
101,2020-06-12-22:32:11,102
102,2020-06-12-22:34:41,103
103,2020-06-12-22:35:06,104
104,2020-06-12-22:37:36,105
