index,Date_Time,Status_change
0,2020-06-11-13:16:57,1
1,2020-06-11-13:16:57,2
2,2020-06-11-13:19:03,3
3,2020-06-11-13:19:03,4
4,2020-06-11-13:22:05,5
5,2020-06-11-13:22:05,6
6,2020-06-11-14:11:26,7
7,2020-06-11-14:11:26,8
8,2020-06-11-15:03:43,9
9,2020-06-11-16:03:05,10
10,2020-06-11-16:17:47,11
11,2020-06-11-17:04:02,12
12,2020-06-11-19:00:14,13
13,2020-06-11-19:01:48,14
14,2020-06-11-19:18:18,15
15,2020-06-11-19:21:15,16
16,2020-06-11-19:22:27,17
17,2020-06-11-19:24:50,18
18,2020-06-11-19:32:30,19
19,2020-06-11-19:32:37,20
20,2020-06-11-19:37:15,21
21,2020-06-11-19:42:14,22
22,2020-06-11-19:48:15,23
23,2020-06-11-20:28:55,24
24,2020-06-11-20:51:54,25
25,2020-06-11-21:52:23,26
26,2020-06-11-21:52:23,27
27,2020-06-11-22:54:20,28
28,2020-06-11-22:59:04,29
29,2020-06-11-23:04:09,30
30,2020-06-11-23:05:09,31
31,2020-06-11-23:19:07,32
32,2020-06-11-23:25:47,33
33,2020-06-11-23:35:26,34
34,2020-06-11-23:45:12,35
35,2020-06-11-23:48:06,36
36,2020-06-12-01:58:24,37
37,2020-06-12-02:06:32,38
38,2020-06-12-02:38:14,39
39,2020-06-12-02:43:29,40
40,2020-06-12-02:49:29,41
41,2020-06-12-04:13:54,42
42,2020-06-12-04:48:16,43
43,2020-06-12-05:01:23,44
44,2020-06-12-05:03:55,45
45,2020-06-12-05:46:54,46
46,2020-06-12-05:46:54,47
47,2020-06-12-06:06:56,48
48,2020-06-12-06:06:56,49
49,2020-06-12-06:11:28,50
50,2020-06-12-06:11:28,51
51,2020-06-12-07:51:05,52
52,2020-06-12-09:12:25,53
53,2020-06-12-09:26:07,54
54,2020-06-12-09:56:51,55
55,2020-06-12-10:08:54,56
56,2020-06-12-14:35:13,57
57,2020-06-12-14:35:13,58
58,2020-06-12-17:30:04,59
59,2020-06-12-17:38:36,60
60,2020-06-12-18:09:49,61
61,2020-06-12-18:14:01,62
62,2020-06-12-18:19:14,63
63,2020-06-12-18:20:30,64
64,2020-06-12-18:20:46,65
65,2020-06-12-18:23:00,66
66,2020-06-12-18:24:17,67
67,2020-06-12-18:31:46,68
68,2020-06-12-18:32:13,69
69,2020-06-12-18:32:26,70
70,2020-06-12-18:35:46,71
